Tag;Parts_Id;01/05/2020;01/06/2020;01/07/2020;01/08/2020;01/09/2020;01/10/2020;01/11/2020;01/12/2020;01/01/2021;01/02/2021;01/03/2021;01/04/2021;01/05/2021;01/06/2021;01/07/2021;01/08/2021;01/09/2021;01/10/2021;01/11/2021;01/12/2021;01/01/2022;01/02/2022;01/03/2022;01/04/2022;01/05/2022;01/06/2022;01/07/2022;01/08/2022;01/09/2022;01/10/2022;01/11/2022;01/12/2022;01/01/2023;01/02/2023;01/03/2023;01/04/2023
Monoporzioni;1542;2160;NULL;NULL;2341.6;NULL;NULL;NULL;NULL;NULL;NULL;3894.4;2122.4;2076;NULL;2304;NULL;NULL;4670.4;NULL;1135.2;2161.6;NULL;3240;268;NULL;2016;861.6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;1543;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;579.2;1514.4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Vasi;1558;NULL;66.528;46.368;13.44;12.768;184.8;1.344;3.36;1.344;2.016;3.36;1.344;5.376;159.264;26.88;98.112;32.256;20.832;26.88;24.192;5.376;6.72;22.176;27.552;10.08;59.136;36.96;16.128;19.488;1.344;12.768;4.704;3.36;NULL;3.36;1.344
Vasi;1561;701.568;1002.624;1841.28;2265.984;5101.824;2343.936;1201.536;556.416;602.112;1309.056;526.848;618.24;1593.984;1405.824;2448.768;1908.48;1905.792;6547.968;1464.96;1981.056;924.672;1846.656;2612.736;2171.904;2319.744;2026.752;2478.336;3529.344;6491.52;1838.592;3182.592;1671.936;1677.312;2311.68;1653.12;1889.664
Vasi;1575;45.696;NULL;416.64;133.056;NULL;NULL;498.624;NULL;NULL;NULL;537.6;407.232;NULL;267.456;NULL;NULL;141.12;NULL;NULL;53.76;NULL;33.6;268.8;819.84;79.296;201.6;403.2;168;241.92;NULL;NULL;508.032;NULL;NULL;NULL;NULL
Vasi;1577;33.6;NULL;389.76;NULL;NULL;NULL;567.168;NULL;NULL;NULL;430.08;333.312;NULL;134.4;NULL;NULL;141.12;NULL;67.2;53.76;NULL;64.512;201.6;248.64;53.76;26.88;295.68;134.4;100.8;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Vasi;1591;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;508.032;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;679;431.2;400.4;246.4;554.4;523.6;585.2;308;492.8;154;831.6;1170.4;NULL;NULL;61.6;523.6;677.6;636.9;646.8;184.8;1108.8;184.8;215.6;616;677.6;369.6;800.8;308;800.8;554.4;646.8;585.2;554.4;755.7;277.2;739.2;492.8
Monoporzioni;680;NULL;NULL;NULL;NULL;NULL;277.2;NULL;NULL;NULL;NULL;NULL;61.6;212.3;NULL;NULL;61.6;NULL;30.8;30.8;30.8;567.6;NULL;280.5;154;277.2;NULL;0;154;61.6;123.2;154;NULL;NULL;30.8;30.8;246.4
Monoporzioni;681;NULL;NULL;NULL;NULL;NULL;277.2;NULL;NULL;NULL;NULL;NULL;NULL;264;NULL;NULL;NULL;NULL;NULL;30.8;30.8;660;NULL;304.7;144.1;277.2;NULL;NULL;92.4;30.8;92.4;123.2;NULL;NULL;61.6;70.4;80.3
Monoporzioni;682;NULL;NULL;NULL;NULL;NULL;277.2;NULL;NULL;NULL;NULL;NULL;61.6;213.4;NULL;NULL;61.6;NULL;30.8;NULL;61.6;677.6;NULL;547.8;92.4;123.2;NULL;NULL;246.4;27.5;184.8;92.4;NULL;NULL;92.4;92.4;92.4
Monoporzioni;1232;NULL;4324.8;2267.2;4236;2259.2;2147.2;6691.2;2233.6;6725.6;6800.8;2160;6680.8;2160;4537.6;4509.6;NULL;7448;7965.6;NULL;7804;2160;3588;11724;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;1233;3205.6;NULL;2160;4506.4;NULL;NULL;NULL;3198.4;NULL;NULL;3481.6;NULL;3236;3295.2;3362.4;NULL;3532.8;3113.6;NULL;3240;3598.4;NULL;3390.4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;1234;13195.2;NULL;NULL;2338.4;3392.8;3240;6480;3406.4;3792;6698.4;3240;6923.2;3479.2;NULL;3276.8;NULL;2146.4;15600;NULL;3282.4;2160;3586.4;3256;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;1267;2720;2160;3990;7026;6240;4540;NULL;120;480;480;8000;480;4298;6162;8160;8690;5398;11104;8096;5440;1836;9070;5010;13640;4240;10180;3640;9640;7978;7700;5840;9820;5622;17380;6108;4436
Vasi;1641;NULL;NULL;NULL;NULL;53.76;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Vasi;1642;NULL;NULL;NULL;NULL;53.76;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Vasi;1643;NULL;NULL;NULL;NULL;53.76;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Vasi;1658;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.688;NULL;53.76;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Vasi;1659;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;47.04;NULL;NULL;NULL;NULL;NULL;107.52;NULL;NULL;NULL;NULL;NULL;282.24;NULL;NULL;NULL;NULL;67.2;NULL;NULL;NULL
Vasi;1660;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;47.04;NULL;NULL;NULL;NULL;NULL;80.64;NULL;NULL;NULL;NULL;NULL;26.88;NULL;NULL;NULL;NULL;67.2;NULL;NULL;NULL
Vasi;1661;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;40.32;NULL;NULL;NULL;NULL;NULL;126.336;NULL;NULL;NULL;NULL;NULL;295.68;NULL;NULL;NULL;NULL;67.2;NULL;NULL;NULL
Vasi;1675;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;365.568;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;1272;NULL;731;1180;153;66;40;37;86;20;35;541;85;392;851;400;250;665;342;30;58;24;38;159;377;192;402;172;350;40;73;45;86;21;29;30;129
Monoporzioni;1277;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;20.52;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;1279;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;26.5392;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;1502;NULL;NULL;NULL;NULL;NULL;5040;NULL;NULL;NULL;NULL;NULL;NULL;5040;NULL;NULL;NULL;NULL;NULL;5037;NULL;NULL;NULL;NULL;NULL;5040;NULL;NULL;NULL;NULL;9330;NULL;NULL;NULL;NULL;NULL;9327
Monoporzioni;1504;NULL;NULL;NULL;NULL;NULL;5187;NULL;NULL;NULL;NULL;NULL;NULL;5232;NULL;NULL;NULL;NULL;NULL;5277;NULL;NULL;NULL;NULL;NULL;5139;NULL;NULL;NULL;NULL;9435;NULL;NULL;NULL;NULL;NULL;9501
Monoporzioni;1506;NULL;84;504;72;24;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;66;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;1511;NULL;351;1188;615;375;882;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;1513;1080;360;1464;1080;792;1128;NULL;NULL;NULL;180;NULL;2127;NULL;810;1800;540;720;780;720;360;NULL;360;NULL;1800;1440;720;1440;360;720;30;1080;NULL;720;360;900;720
Vasi;1676;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;274.176;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Vasi;1691;NULL;NULL;127.68;NULL;NULL;17.472;991.872;NULL;NULL;NULL;219.072;NULL;NULL;NULL;525.504;508.032;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1524.096;1541.568;1778.112;NULL;NULL;NULL;NULL;NULL;33.6;NULL;NULL;NULL;NULL
Vasi;1692;NULL;NULL;126.336;NULL;NULL;NULL;NULL;NULL;NULL;NULL;73.92;NULL;NULL;NULL;525.504;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Vasi;1693;NULL;NULL;NULL;NULL;NULL;19.2;1803.6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1296;907.2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1852.8;1360.8;2716.8;NULL;NULL;NULL;NULL;NULL;21.6;NULL;NULL;NULL;NULL
Vasi;1708;NULL;NULL;NULL;NULL;1478.4;NULL;NULL;1675.968;336;1076.544;NULL;1747.2;NULL;NULL;940.8;NULL;1612.8;291.648;NULL;2016;112.896;1643.712;NULL;1783.488;NULL;NULL;2286.144;NULL;NULL;NULL;2177.28;NULL;NULL;NULL;1908.48;NULL
Vasi;1709;NULL;NULL;NULL;NULL;403.2;NULL;NULL;268.8;NULL;534.912;NULL;336;NULL;NULL;672;NULL;537.6;NULL;NULL;631.68;56.448;623.616;NULL;NULL;NULL;NULL;223.104;NULL;NULL;NULL;419.328;NULL;NULL;NULL;268.8;NULL
Vasi;1711;NULL;NULL;NULL;NULL;1075.2;94.08;NULL;1103.424;201.6;883.008;NULL;268.8;NULL;NULL;336;NULL;1002.624;244.608;NULL;454.272;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Vasi;1725;NULL;NULL;685.44;548.352;116.928;159.936;68.544;NULL;NULL;22.848;182.784;159.936;365.568;822.528;1057.728;502.656;845.376;616.896;228.48;365.568;114.24;913.92;182.784;1079.232;1037.568;548.352;1645.056;NULL;NULL;548.352;365.568;365.568;NULL;182.784;822.528;2010.624
Vasi;1726;NULL;365.568;935.424;345.408;228.48;307.776;NULL;182.784;NULL;NULL;159.936;182.784;548.352;913.92;1025.472;868.224;799.68;274.176;365.568;182.784;NULL;548.352;365.568;1462.272;630.336;548.352;2010.624;NULL;NULL;NULL;365.568;365.568;NULL;91.392;1034.88;1645.056
Vasi;1727;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;182.784;NULL;NULL;NULL;NULL;NULL;364.224;NULL;NULL;731.136;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Vasi;1728;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1321.152;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;548.352;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Vasi;1741;NULL;182.784;182.784;365.568;72.576;365.568;NULL;NULL;NULL;251.328;NULL;NULL;182.784;365.568;365.568;365.568;182.784;548.352;182.784;182.784;NULL;NULL;365.568;182.784;365.568;548.352;548.352;NULL;182.784;365.568;182.784;365.568;NULL;486.528;NULL;365.568
Vasi;1743;NULL;548.352;548.352;1752.576;NULL;731.136;NULL;NULL;NULL;NULL;365.568;NULL;NULL;2118.144;NULL;1042.944;NULL;182.784;1096.704;731.136;NULL;1096.704;182.784;NULL;731.136;182.784;1279.488;NULL;1645.056;NULL;255.36;NULL;NULL;NULL;NULL;NULL
Vasi;1758;NULL;NULL;4509.12;NULL;NULL;2140.32;1862.784;NULL;NULL;NULL;2739.744;931.392;2173.248;571.872;5519.136;1552.32;781.536;5898.816;NULL;NULL;166.656;NULL;931.392;3104.64;2794.176;1241.856;3104.64;1552.32;4656.96;1621.536;NULL;310.464;NULL;NULL;4346.496;2794.176
Vasi;1759;NULL;NULL;310.464;620.928;NULL;NULL;NULL;NULL;NULL;NULL;620.928;258.048;310.464;NULL;310.464;NULL;NULL;931.392;NULL;NULL;454.944;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Vasi;1775;1330.56;2306.88;1578.24;522.72;3337.92;1512;747.36;522.72;319.68;NULL;200.16;NULL;4.32;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;1482;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;713.532;NULL;NULL;NULL;NULL;NULL;763.584;NULL;NULL;NULL;NULL;1501.56;NULL;NULL;NULL;NULL;NULL;6.984;NULL;NULL;NULL;1999.752;89.628;NULL
Monoporzioni;1483;NULL;NULL;NULL;NULL;NULL;883.024;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;1515;129;720;285;618;1191;NULL;600;NULL;NULL;30;240;480;360;1500;768;372;NULL;300;858;180;NULL;720;NULL;720;NULL;360;NULL;1440;NULL;1440;NULL;720;NULL;180;711;720
Monoporzioni;1516;NULL;1080;645;879;NULL;NULL;600;NULL;420;NULL;60;240;420;1770;1440;1440;360;630;720;540;NULL;360;NULL;720;1080;1440;1440;360;720;360;720;360;NULL;720;1224;1080
Monoporzioni;1517;NULL;NULL;1092;1224;144;189;NULL;NULL;NULL;NULL;NULL;NULL;600;1380;1440;990;360;60;360;360;NULL;360;NULL;360;1440;837;1080;360;NULL;360;360;720;NULL;NULL;NULL;360
Monoporzioni;1518;NULL;360;360;576;216;1434;NULL;NULL;NULL;NULL;NULL;NULL;NULL;180;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;720;1080;4203;NULL;720;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;1533;7290;NULL;6552;2868;4455;2799;9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;1534;3240;NULL;NULL;2025;5670;1248;27;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;1529;1215;402;NULL;1215;NULL;NULL;NULL;NULL;NULL;NULL;3246;2430;1215;NULL;1620;NULL;NULL;573;NULL;1164;945;1215;1677;1215;NULL;1200;1272;NULL;3285;NULL;2835;1620;1620;1638;NULL;NULL
Monoporzioni;1531;NULL;2025;744;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2430;NULL;NULL;1137;2205;NULL;NULL;1449;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;1536;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;915.363;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;1538;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;925.433;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;1545;13195.2;NULL;NULL;2338.4;3392.8;3240;6480;3406.4;3792;6698.4;3240;6923.2;3479.2;NULL;3276.8;NULL;2146.4;15600;NULL;3282.4;2160;3586.4;3928;5058.4;2472.8;NULL;5559.2;NULL;3023.2;5561.6;5376.8;6092.8;5545.6;2876;11539.2;5928.8
Monoporzioni;1547;NULL;4324.8;2267.2;4236;2259.2;2147.2;6691.2;2233.6;6725.6;6800.8;2160;6680.8;2160;4537.6;4509.6;NULL;7448;7965.6;NULL;7804;2160;3588;11724;3267.2;2875.2;2923.2;5781.6;NULL;4368;4088.8;11543.2;8019.2;14451.2;11107.2;10922.4;12280.8
Vasi;1553;2.688;147.84;540.288;198.912;91.392;212.352;271.488;120.96;142.464;5.376;94.08;10.752;126.336;333.312;301.056;241.92;247.296;185.472;212.352;639.744;217.728;96.768;263.424;115.584;75.264;411.264;123.648;172.032;150.528;166.656;104.832;247.296;166.656;8.064;220.416;126.336
Vasi;1555;NULL;70.56;94.08;65.856;174.72;6.72;184.128;NULL;4.032;4.032;7.392;20.16;10.08;145.152;100.128;81.312;35.616;108.864;204.96;35.616;18.816;50.4;40.992;106.848;140.448;126.336;104.16;90.72;23.52;73.92;88.032;3.36;8.736;15.456;45.024;7.392
Vasi;1776;347.04;1486.08;1938.24;177.12;2679.84;1270.08;372.96;678.24;364.32;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Vasi;1777;1533.6;74.88;1280.16;110.88;635.04;2275.2;934.56;573.12;70.56;NULL;82.08;NULL;NULL;73.44;11.52;NULL;17.28;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Vasi;1778;358.56;220.32;642.24;109.44;1137.6;162.72;849.6;1113.12;48.96;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Vasi;1844;NULL;NULL;NULL;NULL;NULL;NULL;194.4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Vasi;1858;347.04;1486.08;1938.24;177.12;2679.84;1270.08;380.64;710.88;452.64;819.84;1098.24;912;935.04;1960.32;1881.6;591.36;1420.8;1486.08;120.96;754.56;927.36;63.36;2025.6;393.6;666.24;67.2;230.4;3.84;165.12;7.68;274.56;124.8;59.52;48;17.28;53.76
Vasi;1859;1533.6;74.88;1280.16;110.88;635.04;2275.2;946.08;598.08;158.88;2513.28;1858.08;385.92;1580.16;564.96;633.6;472.32;503.04;1551.36;234.24;660.48;1025.28;140.16;2232.96;474.24;2300.16;15.36;57.6;545.28;218.88;111.36;228.48;629.76;9.6;74.88;5.76;26.88
Vasi;1860;358.56;220.32;642.24;109.44;1137.6;164.64;861.12;1134.24;118.08;97.92;958.08;787.2;1075.2;222.72;1180.8;349.44;462.72;1094.4;224.64;136.32;418.56;51.84;977.28;218.88;547.2;545.28;641.28;585.6;4519.68;63.36;184.32;157.44;122.88;2653.44;677.76;90.24
Vasi;1861;172.8;NULL;17.28;190.08;8.64;NULL;128.16;NULL;107.52;NULL;107.52;7.68;51.84;155.52;NULL;NULL;103.68;NULL;103.68;NULL;103.68;NULL;122.88;NULL;103.68;26.88;NULL;51.84;51.84;51.84;119.04;155.52;59.52;103.68;59.52;74.88
Monoporzioni;1548;NULL;3276.8;3240;3288;NULL;3144;7838.4;2117.6;NULL;NULL;8794.4;2369.6;2152;2167.2;4528.8;NULL;4500;6207.2;NULL;4020;2825.6;NULL;NULL;3241.6;2160;48;5185.6;NULL;3496;NULL;NULL;6444;10833.6;NULL;8562.4;2883.2
Monoporzioni;1549;2122.4;5903.2;2836.8;1880;NULL;NULL;2107.2;2063.2;2134.4;2075.2;4394.4;2104.8;2064.8;NULL;2180.8;NULL;NULL;6889.6;NULL;1905.6;2128;NULL;NULL;NULL;2848;2191.2;NULL;NULL;3389.6;NULL;2871.2;5837.6;2804;5536;6186.4;3018.4
Monoporzioni;1550;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3614.4;NULL;NULL;NULL;NULL;NULL;852;NULL
Monoporzioni;1551;6655.2;6660;NULL;3230.4;1116;5022.4;4359.2;3240;5499.2;6736;6460;3143.2;NULL;4421.6;NULL;NULL;4493.6;7984;NULL;NULL;2060;NULL;5108;1004;4496.8;2904.8;NULL;NULL;5510.4;1008;1731.2;5679.2;5561.6;NULL;5772;8970.4
Vasi;1566;12.096;198.912;1346.688;877.632;634.368;717.696;20.16;95.424;4.032;295.68;83.328;184.128;716.352;1509.312;2077.824;873.6;1145.088;604.8;794.304;1147.776;471.744;544.32;979.776;1313.088;1900.416;2079.168;2260.608;1632.96;771.456;892.416;934.08;788.928;430.08;809.088;969.024;1559.04
Vasi;1567;NULL;591.36;274.176;357.504;157.248;389.76;10.752;38.976;4.032;5.376;14.784;21.504;829.248;889.728;840;721.728;358.848;650.496;545.664;149.184;106.176;243.264;350.784;416.64;610.176;494.592;548.352;432.768;616.896;98.112;302.4;299.712;138.432;462.336;314.496;459.648
Vasi;1568;10.752;309.12;594.048;779.52;309.12;680.064;37.632;146.496;4.032;254.016;41.664;192.192;877.632;1124.928;1604.736;1197.504;995.904;763.392;623.616;870.912;208.32;1221.696;513.408;1081.92;877.632;1279.488;1163.904;1353.408;787.584;506.688;450.24;805.056;301.056;465.024;831.936;848.064
Vasi;1569;12.096;233.856;1276.8;979.776;504;282.24;25.536;61.824;10.752;90.048;72.576;135.744;698.88;1372.224;1370.88;1088.64;960.96;381.696;536.256;439.488;225.792;521.472;772.8;1214.976;1185.408;1456.896;1229.76;878.976;923.328;357.504;850.752;651.84;240.576;505.344;1024.128;964.992
Vasi;1557;1.344;59.136;59.808;38.304;32.928;192.864;2.688;2.016;10.08;NULL;10.08;15.456;27.552;106.176;44.352;121.632;91.392;42.336;202.944;36.288;34.272;4.032;15.456;75.264;47.04;65.184;36.288;31.584;61.152;23.52;49.056;10.752;108.864;2.688;32.256;6.72
Vasi;1562;22.848;985.152;2060.352;1536.192;921.984;1271.424;32.256;123.648;12.096;388.416;77.952;264.768;1380.288;2233.728;3624.768;2275.392;1411.2;966.336;1327.872;1474.368;350.784;1068.48;1639.68;2403.072;1911.168;2971.584;2529.408;2116.8;1440.768;1399.104;1267.392;1012.032;735.168;1214.976;1467.648;1920.576
Vasi;1564;43.008;661.248;1611.456;916.608;702.912;607.488;24.192;94.08;9.408;123.648;56.448;198.912;1381.632;1025.472;2201.472;2048.256;1580.544;1100.736;1087.296;712.32;256.704;444.864;1088.64;1622.208;1908.48;2235.072;1825.152;1759.296;1460.928;899.136;995.904;670.656;759.36;1053.696;993.216;1923.264
Vasi;1571;86.016;1026.816;2640.96;2397.696;1620.864;1430.016;114.24;107.52;37.632;548.352;796.992;536.256;2081.856;3700.032;4070.976;3350.592;2767.296;2417.856;2974.272;1854.72;868.224;2097.984;2732.352;4869.312;3431.232;4519.872;4390.848;4439.232;4037.376;4283.328;2479.68;2568.384;2446.08;2959.488;4253.76;3772.608
Vasi;1573;NULL;NULL;174.72;NULL;56.448;NULL;499.968;NULL;NULL;NULL;215.04;120.96;NULL;188.16;NULL;NULL;NULL;NULL;NULL;26.88;NULL;65.856;201.6;489.216;45.696;47.04;215.04;134.4;94.08;NULL;NULL;508.032;NULL;NULL;NULL;NULL
Vasi;1587;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;508.032;NULL;NULL;NULL;254.016;254.016;NULL;NULL;NULL;NULL;NULL;508.032;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;756.672;NULL
Vasi;1589;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;508.032;1016.064;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1010.688;NULL
Vasi;1605;NULL;NULL;NULL;NULL;182.784;NULL;NULL;182.784;NULL;NULL;NULL;NULL;182.784;NULL;NULL;NULL;182.784;NULL;NULL;182.784;NULL;182.784;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;274.176;NULL;NULL;NULL;NULL;90.048
Vasi;1862;60.48;11.52;159.84;60.48;8.64;51.84;48.96;63.36;51.84;NULL;NULL;57.6;NULL;51.84;NULL;51.84;51.84;NULL;51.84;55.68;3.84;51.84;3.84;240;51.84;7.68;NULL;NULL;51.84;103.68;NULL;103.68;55.68;51.84;NULL;11.52
Vasi;1893;NULL;NULL;NULL;NULL;NULL;NULL;912;NULL;NULL;NULL;NULL;NULL;952.32;NULL;NULL;NULL;NULL;NULL;NULL;956.16;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;952.32;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Vasi;1894;NULL;NULL;NULL;NULL;NULL;NULL;998.4;NULL;NULL;NULL;NULL;NULL;954.24;NULL;NULL;NULL;NULL;NULL;NULL;952.32;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1428.48;NULL;NULL;NULL;NULL;NULL;NULL;NULL
